Region ,Country,"City, Region",Description,Date (M.DD.Y),Link,Mention or use of false news measure (Y/N),Detained (Y/N),Arrested (Y/N) ,Imprisoned (Y/N) ,Access Denied (Y/N),Chilling Statement (Y/N),Attacked (Y/N),Charged (Y/N) ,Online Harassment (Y/N),Threatened (Y/N),Death (Y/N),Surveillance,Criminalization: type of new or amended law (please specify),Disinformation or propaganda (Y/N)
Africa ,Zimbabwe,Mutare,"Tatenda Julius,  Arrested for practising as a journo without valid accredition and detained overnight. Paid a fine next day and was released/",3.30.2020,https://zimbabwe.misa.org/2020/03/30/zimbabwe-police-arrest-journalist-in-mutare/,,,Y,,,,,,,,,,,
Africa ,South Africa,Countrywide,"Disaster Management Regulations criminalizes the publishing of any statement, through any memida, including social media, with the intention to decidve any other paerson aobut COVID-19, the infection status of any person or any measure taken by the government to address COVID-19, lialbe on conviction to a fine or 6 months in jail or both",3.18.2020,https://www.gov.za/documents/disaster-management-act-regulations-address-prevent-and-combat-spread-coronavirus-covid-19,Y,,,,,,,,,,,,Disaster Management Regulations,
Africa ,South Africa,,"Policeman deliberately fires at Azarrah Karrim with rubber bullets. Journaiist was filming Day of the lockdown when police forcibly dispered shoppers queing at a supremarket for food. Police dispersed the shoppers and chased after them. One policeman saw here filming and shot at her, despite her shouting she was a journalist and then chased her into a restaurant, where two of his colleagues intervened. She has laid a charge and complained to IPID ",3.27.20,https://www.news24.com/SouthAfrica/News/police-clash-with-joburg-residents-news24-reporter-caught-in-crossfire-20200327 AQ spoke to journo herself who sent a recording of what happened to her that is a lot jore serious than what appeas in this article,,,,,,,,,,,,,,
Africa ,Zambia,Lusaka,Prime TV suspended and taken off Top Star platform after owner tells government to pay for Coronvirus adverts,2.04.2020,https://diggers.news/breaking/2020/03/27/topstar-removes-prime-tv-from-its-platforms/,,,,,,,,,,,,,,
Africa ,South Africa,Cape Town,This heavy-handed policeman confiscates #photographer Tracey Adam's cell as she takes footage of an assault in Capricorn Park.,3.27.2020,https://twitter.com/WeekendArgus/status/1243539203608252416,,,,,,,,,,,,,,
Africa ,South Africa,Kimberley,"Journalist infected, newsroom SABC goes into quarantine",3.27.2020,https://www.news24.com/SouthAfrica/News/sabc-employee-in-northern-cape-tests-positive-for-coronavirus-20200326,,,,,,,,,,,,,,
Africa,Cameroon,Fako,Samuel Wazizi habeus corupus postponed. Defence and state lawyers fail to appear in court because of conflicting information about court closing over COVID-19,3.24.2020,Confirmed with ABA observer and lawyer,,,,,,,,,,,,,,
Africa,Cameroon,Countrywide,"Makes u-trun on previous day decision that court sessions cancelled, now no more than 50 -people in court. Concern about more dealys for awating trial journos and appeals, etc, ",3.19.2020,,,,,,,,,,,,,,,
Africa ,South Africa,,Cellphone companies agree to hand over location date to government for COVID tracking,3.25.2020,https://www.bloomberg.com/news/articles/2020-03-27/s-africa-to-tap-phone-data-to-ready-for-coronavirus-case-spikes,,,,,,,,,,,,Y,,
Africa,South Africa,,"Economic effects of small publications like M&G. Editor appeals for financial help because of effects of the pandemic on adverstising revenue, etc, and that theu can't pay staff or billls",3.27.2020,https://www.fin24.com/Companies/mail-guardians-april-salaries-in-the-balance-as-editor-appeals-for-reader-support-20200327,,,,,,,,,,,,,,
Africa,South Africa,Johannesburg,Another employee based at SABC HQ found tested and confirmed coronvirus case,3.29.2020,https://www.news24.com/SouthAfrica/News/coronavirus-second-sabc-employee-tests-positive-for-covid-19-20200329,,,,,,,,,,,,,,
Africa,Nigeria,Abuja,Information minister says Journalists need ID cards to move around in Lockdown,3.30.2020,https://www.premiumtimesng.com/news/more-news/384970-coronavirus-journalists-need-id-cards-to-move-around-during-lockdown-minister.html,,,,,,,,,,,,,,
